rank,target,source,transcription
1,be,бути,biː
2,and,і; та,ænd
3,of,з; про,ɒv
4,to,до; в,tuː
5,a,один; якийсь,eɪ
6,in,в; у,ɪn
7,that,той; що,ðæt
8,have,мати,hæv
9,I,я,aɪ
10,it,це; воно,ɪt
11,for,для; за,fɔːr
12,not,не; ні,nɒt
13,on,на,ɒn
14,with,з; зі,wɪð
15,he,він,hiː
16,as,як; коли,æz
17,you,ти; ви,juː
18,do,робити,duː
19,at,при; в,æt
20,this,цей; це,ðɪs
21,but,але,bʌt
22,his,його,hɪz
23,by,при; біля,baɪ
24,from,від; з,frɒm
25,they,вони,ðeɪ
26,we,ми,wiː
27,say,говорити; казати,seɪ
28,her,її; їй,hɜːr
29,she,вона,ʃiː
30,or,або; чи,ɔːr
