rank,target,source,transcription
1,lekko,легко; злегка,лекко
2,żaden,жоден; ніякий,жаден
3,zobaczyć,побачити; роздивитись,зобачич
4,ramię,плече; рука,рамєнє
5,twój,твій,тфуй
6,sprawa,справа; питання,справа
7,doktor,лікар; доктор,доктор
8,młody,молодий,млоди
9,dziesięć,десять,джесьєнч
10,następnie,потім; далі,настемпнє
11,możliwość,можливість,можлівощч
12,spotkanie,зустріч,спотканє
13,umowa,договір,умова
14,przygotować,підготувати,пшиготовач
15,rozwiązać,вирішити; розв’язати,розвйонзач
16,opóźnienie,затримка,опужнєнє
17,odpowiedź,відповідь,одповєдж
18,praca,робота,праца
19,doświadczenie,досвід,дошвядченє
20,zaplanować,запланувати,заплановаць
21,szczególnie,особливо,щчегульнє
22,ważny,важливий,важни
23,potrzebny,потрібний,потршебни
24,spokojnie,спокійно,спокойнє
25,wyraźnie,чітко; ясно,виразьнє
26,oczekiwać,очікувати,очеківач
27,zmiana,зміна,змяна
28,sytuacja,ситуація,ситуація
29,decyzja,рішення; ухвала,децизйя
30,warunek,умова; вимога,варунек
31,zależny,залежний,залєжни
32,niezależnie,незалежно,нєзалєжнє
33,możliwy,можливий,можлівий
34,konsekwencja,наслідок; послідовність,консеквенця
35,przykład,приклад,пшиклад
36,argument,аргумент,аргумент
37,propozycja,пропозиція,пропозиція
38,rozmowa,розмова,розмова
39,ustalić,узгодити; встановити,усталіч
40,podejście,підхід,подейшчє
41,planować,планувати,плановаць
42,wybrać,обрати; вибрати,вибрач
43,spodziewać,очікувати; сподіватись,сподзєвач
44,różnica,різниця,ружніца
45,zachowanie,поведінка,захованє
46,wpływ,вплив,вплив
47,korzyść,користь; вигода,кожищч
48,odpowiedni,відповідний,одповєдні
49,przypadek,випадок,пшипадек
50,rezultat,результат,результат
51,określić,визначити; окреслити,окрешліч
52,osiągnąć,досягти,осягноньч
53,udział,участь,удзял
54,porozumienie,домовленість; порозуміння,порозумєнє
55,zgodzić,погодитись,згодзіч
56,propozycja,пропозиція,пропозиція
57,odmówić,відмовити,одмувіч
58,zaakceptować,прийняти; схвалити,заакцептоваць
59,rozważyć,розглянути,розважич
60,dotyczyć,стосуватися,дотичич
61,wynikać,випливати; виходити,виникач
62,zakres,обсяг; діапазон,закрес
63,etap,етап; стадія,етап
64,cel,мета; ціль,цель
65,środek,засіб; середина,шродек
66,warunki,умови,варункі
67,zmniejszyć,зменшити,змнєйшич
68,zwiększyć,збільшити,звєнкшич
69,dostępny,доступний,достемпни
70,brak,відсутність; брак,брак
71,problem,проблема,проблем
72,rozwiązanie,рішення; розв’язання,розвйонзанє
73,ocena,оцінка,оцена
74,wynik,результат; підсумок,виник
75,czynnik,фактор; чинник,чиннік
76,proces,процес,процес
77,etapowy,поетапний,етапови
78,standard,стандарт,стандарт
79,zakładać,припускати; передбачати,зауладач
80,wyjaśnienie,пояснення,вияшнєнє
81,uzasadnienie,обґрунтування,узасаднєнє
82,termin,термін; строк,термін
83,priorytet,пріоритет,пріоритет
84,efekt,ефект; результат,ефект
85,istotny,суттєвий; важливий,істотни
86,konieczny,необхідний,конєчни
87,korzystny,вигідний; корисний,кожистни
88,negatywny,негативний,негативни
89,pozytywny,позитивний,позитивни
90,ryzyko,ризик,ризико
91,decydujący,вирішальний,децидуёнци
92,wpływać,впливати,впливати
93,utrzymać,утримати; зберегти,утшимаць
94,stracić,втратити,страчич
95,osiągalny,досяжний,осягальни
96,niezbędny,необхідний; незамінний,нєзбендни
97,alternatywa,альтернатива,альтернатива
98,porównać,порівняти,порувнач
99,równy,рівний; однаковий,рувни
100,zależność,залежність,залєжнощч
101,oczekiwanie,очікування,очеківанє
102,zaangażowanie,залученість; зацікавленість,заангажованє
103,odpowiedzialność,відповідальність,одповєджальнoщч
104,zobowiązanie,зобов’язання,зобовйонзанє
105,przewidywać,передбачати,пшевідівач
106,realizacja,реалізація,реалізація
107,skuteczny,ефективний; дієвий,скутечни
108,nieskuteczny,неефективний,нєскутечни
109,wystarczający,достатній,вистарчонци
110,niewystarczający,недостатній,нєвистарчонци
111,przebieg,перебіг; хід,пшебієґ
112,zakładając,припускаючи; враховуючи,зауладайонц
113,podejmować,ухвалювати; братися,подеймовач
114,zrezygnować,відмовитись,зрезиґновач
115,utrzymanie,утримання; підтримка,утшіманє
116,zapewnienie,забезпечення,запевнєнє
117,wdrożenie,впровадження,вдрошенє
118,ocenić,оцінити,оценіч
119,uzyskać,отримати; здобути,узискач
120,struktura,структура,структура
121,zakłócenie,порушення; збій,зауклоченє
122,ciągłość,безперервність,чонґлощч
123,elastyczny,гнучкий,еластични
124,sztywny,жорсткий,штивни
125,ograniczenie,обмеження,огранічeнє
126,rozszerzyć,розширити,рошшержич
127,skrócić,скоротити,скручич
128,wydłużyć,подовжити,видлужич
129,przewaga,перевага,пшевaґa
130,wada,недолік; вада,вада
131,zaleta,перевага; плюс,залєта
132,przeciwny,протилежний,пшечивни
133,identyczny,ідентичний,ідентични
134,podobny,подібний,подобни
135,rzetelny,надійний; сумлінний,жетельни
136,dokładny,точний; ретельний,докладни
137,niedokładny,неточний,нєдокладни
138,wiarygodny,достовірний; надійний,вяріґодни
139,ryzykowny,ризикований,ризиковни
140,bezpieczny,безпечний,безпечни
141,zabezpieczyć,убезпечити; забезпечити,забезпечич
142,usprawnić,покращити; оптимізувати,усправніч
143,pogorszyć,погіршити,погожшич
144,stabilny,стабільний,стабільни
145,niestabilny,нестабільний,нєстабільни
146,przerwa,перерва,пшервa
147,wznowić,відновити,взновіч
148,zakończyć,завершити,закончич
149,rozpocząć,розпочати,розпочонщ
150,kontynuować,продовжувати,континуовач
151,wynagrodzenie,винагорода; зарплата,винаґродзенє
152,obowiązek,обов’язок,обовйонзек
153,uprawnienie,повноваження; право,управнєнє
154,zgłoszenie,повідомлення; заявка,зґлошенє
155,wniosek,заява; висновок,вньосек
156,procedura,процедура,процедура
157,regulamin,регламент; правила,реґуламін
158,zasada,правило; принцип,засада
159,wyjątek,виняток,вийонтек
160,terminowy,своєчасний; терміновий,термінови
161,opóźniony,запізнілий; прострочений,опужньони
162,aktualny,актуальний; чинний,актуальни
163,nieaktualny,неактуальний; застарілий,нєактуальни
164,zatwierdzić,затвердити,затвєрджич
165,odrzucić,відхилити,оджучич
166,zaakceptowany,прийнятий; схвалений,заакцептовани
167,odrzucony,відхилений,оджучони
168,przedstawić,представити; подати,пшедставіч
169,omówić,обговорити,омувіч
170,ustalenie,узгодження; встановлення,усталєнє
171,potwierdzić,підтвердити,потвєрджич
172,zaprzeczyć,заперечити,запжечич
173,zgłosić,заявити; повідомити,зґлошич
174,odpowiadać,відповідати; відповідати чомусь,одповядайч
175,przekazać,передати,пшекaзач
176,otrzymać,отримати,отримач
177,dostarczyć,доставити; надати,достарчич
178,udostępnić,надати доступ,удостемпніч
179,zablokować,заблокувати,заблоковач
180,odblokować,розблокувати,одблоковач
181,sprawdzić,перевірити,справджич
182,zweryfikować,перевірити; верифікувати,звєрифіковач
183,poprawny,правильний; коректний,поправни
184,niepoprawny,неправильний; помилковий,нєпоправни
185,błąd,помилка,блонd
186,naprawić,виправити; полагодити,направіч
